,precision,recall,f1-score,support
A,0.9399538106235565,0.9044444444444445,0.9218573046432617,450.0
B,0.9465811965811965,0.9844444444444445,0.9651416122004357,450.0
C,1.0,1.0,1.0,450.0
D,0.9976798143851509,0.9555555555555556,0.9761634506242906,450.0
E,0.9010309278350516,0.9711111111111111,0.9347593582887701,450.0
F,1.0,0.9488888888888889,0.9737742303306728,450.0
G,1.0,0.8688888888888889,0.929845422116528,450.0
H,0.8587786259541985,1.0,0.9240246406570842,450.0
I,0.9650655021834061,0.9822222222222222,0.973568281938326,450.0
J,0.980349344978166,0.9977777777777778,0.9889867841409692,450.0
K,0.9436008676789588,0.9666666666666667,0.9549945115257958,450.0
L,0.997716894977169,0.9711111111111111,0.9842342342342343,450.0
M,0.9142259414225942,0.9711111111111111,0.9418103448275862,450.0
N,0.981859410430839,0.9622222222222222,0.9719416386083053,450.0
O,0.997737556561086,0.98,0.9887892376681614,450.0
P,0.9863636363636363,0.9644444444444444,0.9752808988764045,450.0
Q,0.9932432432432432,0.98,0.9865771812080537,450.0
R,0.8865546218487395,0.9377777777777778,0.9114470842332614,450.0
S,0.9107883817427386,0.9755555555555555,0.9420600858369099,450.0
T,0.9216101694915254,0.9666666666666667,0.9436008676789588,450.0
U,0.8326271186440678,0.8733333333333333,0.8524945770065075,450.0
V,0.8669724770642202,0.84,0.8532731376975169,450.0
W,0.9228971962616822,0.8777777777777778,0.8997722095671982,450.0
X,0.9761336515513126,0.9088888888888889,0.9413118527042578,450.0
Y,0.9923469387755102,0.8644444444444445,0.9239904988123515,450.0
Z,0.9502164502164502,0.9755555555555555,0.9627192982456141,450.0
nothing,0.9977827050997783,1.0,0.9988901220865705,450.0
space,1.0,0.98,0.98989898989899,450.0
accuracy,0.9503174603174603,0.9503174603174603,0.9503174603174603,0.9503174603174603
macro avg,0.9522184458540813,0.9503174603174604,0.950400280559179,12600.0
weighted avg,0.9522184458540814,0.9503174603174603,0.9504002805591792,12600.0
